mode,parameter,value,delta_pT,delta_delta_deg
pyy,y_mm,1.0,-0.0011506856540615118,-1.0236345369216546
pyy,y_mm,2.0,-0.0023954183844682175,-2.043844196641983
pyy,y_mm,5.0,-0.0042853326195748664,-5.555470474724786
pyy,alpha_x_mrad,-5.0,0.000127774328368635,-7.531109264354927e-07
pyy,alpha_x_mrad,-2.0,4.890729199436006e-05,9.630990432194647e-06
pyy,alpha_x_mrad,-1.0,1.173232511997302e-05,1.2715762334399345e-05
pyy,alpha_x_mrad,-0.5,-7.441898121074431e-07,-7.025580870381309e-06
pyy,alpha_x_mrad,-0.1,-4.938766973161535e-08,-6.789979334508842e-05
pyy,alpha_x_mrad,0.0,-1.059640475364887e-08,5.143437700853586e-06
pyy,alpha_x_mrad,0.1,-4.938766973161535e-08,-6.789979334508842e-05
pyy,alpha_x_mrad,0.5,-7.441898121074431e-07,-7.025580870381309e-06
pyy,alpha_x_mrad,1.0,1.173232511997302e-05,1.2715762334399345e-05
pyy,alpha_x_mrad,2.0,4.890729199436006e-05,9.630990432194647e-06
pyy,alpha_x_mrad,5.0,0.000127774328368635,-7.531109264354927e-07
pyy,alpha_y_mrad,-5.0,-0.0027350193711518367,0.2567386712821485
pyy,alpha_y_mrad,-2.0,-0.0008049232307388854,0.10791872260125836
pyy,alpha_y_mrad,-1.0,-0.0001946305939199977,0.0584953806054081
pyy,alpha_y_mrad,-0.5,-1.3024655723947731e-06,0.031355230767574814
pyy,alpha_y_mrad,-0.1,-2.262766707339381e-08,0.0062688584566320095
pyy,alpha_y_mrad,0.0,-1.059640475364887e-08,5.143437700853586e-06
pyy,alpha_y_mrad,0.1,-5.433095817686251e-08,-0.006312819149229206
pyy,alpha_y_mrad,0.5,-1.3157131708574354e-06,-0.03134765354690292
pyy,alpha_y_mrad,1.0,-0.0001946676076609588,-0.05846066056183041
pyy,alpha_y_mrad,2.0,-0.0008046318646566242,-0.10792030685522211
pyy,alpha_y_mrad,5.0,-0.0027350264617352904,-0.2566921723969716
