rotation_axis,rotation_deg,raw_rank,effective_rank,smallest_singular,smallest_nonzero_singular,condition_number,fisher_pseudo_determinant,null_intersection_dimension,principal_angles_deg
x,34,5,5,76918.685559837613,76918.685559837613,3.2708526184841409,6.3776082121425269e+24,0,"33.999999999999986"
x,36,5,5,81297.815893345687,81297.815893345687,3.0776835371752544,7.2472337655398347e+24,0,"36.000000000000014"
x,38,5,5,85652.18212458308,85652.18212458308,2.9042108776758226,8.1640837266680823e+24,0,"38.000000000000014"
x,40,5,5,89980.457871413993,89980.457871413993,2.7474774194546216,9.1219935183887876e+24,0,"39.999999999999972"
x,42,5,5,94281.324699116973,94281.324699116973,2.6050890646938032,1.0113911795990899e+25,0,"41.999999999999993"
x,44,5,5,98553.472521992968,98553.472521992968,2.475086853416296,1.1132052997319617e+25,0,"44.000000000000014"
x,46,5,5,102795.60000242974,102795.60000242974,2.3558523658237531,1.2168073810690185e+25,0,"45.999999999999972"
x,48,5,5,107006.4149473025,107006.4149473025,2.2460367739042164,1.3213266461670268e+25,0,"47.999999999999979"
x,50,5,5,111184.63470158789,111184.63470158789,2.1445069205095595,1.4258761112878313e+25,0,"49.999999999999986"
x,52,5,5,115328.98653907348,115328.98653907348,2.0713658288948151,1.5295729398989351e+25,0,"51.999999999999986"
x,54,5,5,119438.20805004219,119438.20805004219,2.0184914740228863,1.6315581191626815e+25,0,"54"
x,56,5,5,123511.04752581503,123511.04752581503,1.9692434316688987,1.7310147100164754e+25,0,"56"
x,58,5,5,127546.26434003306,127546.26434003306,1.9231696765796027,1.8271839944363134e+25,0,"57.999999999999993"
x,60,5,5,131542.62932656473,131542.62932656473,1.8798822634564751,1.9193789449073392e+25,0,"59.999999999999993"
x,62,5,5,135498.92515392136,135498.92515392136,1.8390470099598606,2.006994566358795e+25,0,"61.999999999999986"
x,64,5,5,139413.94669606877,139413.94669606877,1.8003750793142128,2.089514804196635e+25,0,"63.999999999999972"
x,66,5,5,143286.50139951918,143286.50139951918,1.7636160710761422,2.166515867154785e+25,0,"66"
x,68,5,5,147115.40964659589,147115.40964659589,1.7285523183577656,2.237665973572238e+25,0,"68"
x,70,5,5,150899.50511475521,150899.50511475521,1.6949941568351612,2.3027216872930365e+25,0,"69.999999999999986"
x,72,5,5,154637.63513186024,154637.63513186024,1.6627759815027274,2.3615211577183289e+25,0,"71.999999999999972"
x,74,5,5,158328.66102729578,158328.66102729578,1.631752945756793,2.4139747110902187e+25,0,"74"
x,76,5,5,161971.45847881807,161971.45847881807,1.6017981871223699,2.4600533510584044e+25,0,"76"
x,78,5,5,163971.27800697088,163971.27800697088,1.5880865636944914,2.4997758111514231e+25,0,"78"
x,80,5,5,164024.73618462138,164024.73618462138,1.5925321446065153,2.5331948563133965e+25,0,"79.999999999999986"
x,82,5,5,164068.00147081152,164068.00147081152,1.5961967957962417,2.5603835528902257e+25,0,"82"
x,84,5,5,164101.36012863833,164101.36012863833,1.5990640543008867,2.5814222155155884e+25,0,"83.999999999999986"
x,86,5,5,164125.0322234139,164125.0322234139,1.6011211692592586,2.5963866958964233e+25,0,"86"
x,88,5,5,164139.1735525596,164139.1735525596,1.6023590617303425,2.6053386046183462e+25,0,"87.999999999999986"
x,90,5,5,164143.87703565505,164143.87703565505,1.6027722958924788,2.6083179562253793e+25,0,"89.999999999999986"
x,92,5,5,164139.17355255963,164139.17355255963,1.6023590617303418,2.6053386046183428e+25,0,"88.000000000000028"
x,94,5,5,164125.03222341396,164125.03222341396,1.6011211692592588,2.5963866958964254e+25,0,"86.000000000000014"
x,96,5,5,164101.36012863836,164101.36012863836,1.5990640543008863,2.5814222155155862e+25,0,"84.000000000000028"
x,98,5,5,164068.00147081146,164068.00147081146,1.5961967957962413,2.5603835528902235e+25,0,"82.000000000000014"
x,100,5,5,164024.73618462135,164024.73618462135,1.5925321446065162,2.5331948563133957e+25,0,"80.000000000000028"
x,102,5,5,163971.27800697088,163971.27800697088,1.5880865636944916,2.4997758111514248e+25,0,"78.000000000000028"
x,104,5,5,161971.45847881812,161971.45847881812,1.6017981871223683,2.4600533510584048e+25,0,"76.000000000000028"
x,106,5,5,158328.66102729575,158328.66102729575,1.631752945756793,2.4139747110902157e+25,0,"74.000000000000014"
x,108,5,5,154637.6351318603,154637.6351318603,1.6627759815027268,2.3615211577183298e+25,0,"72.000000000000014"
x,110,5,5,150899.50511475524,150899.50511475524,1.6949941568351614,2.3027216872930348e+25,0,"70.000000000000028"
x,112,5,5,147115.40964659589,147115.40964659589,1.7285523183577656,2.2376659735722371e+25,0,"68"
x,114,5,5,143286.50139951924,143286.50139951924,1.7636160710761424,2.166515867154791e+25,0,"66"
x,116,5,5,139413.94669606868,139413.94669606868,1.8003750793142128,2.0895148041966372e+25,0,"64"
x,118,5,5,135498.92515392147,135498.92515392147,1.839047009959859,2.006994566358792e+25,0,"62.000000000000028"
x,120,5,5,131542.62932656475,131542.62932656475,1.879882263456474,1.9193789449073413e+25,0,"60.000000000000028"
x,122,5,5,127546.2643400331,127546.2643400331,1.923169676579602,1.8271839944363145e+25,0,"58.000000000000028"
x,124,5,5,123511.04752581503,123511.04752581503,1.9692434316688976,1.731014710016475e+25,0,"56"
x,126,5,5,119438.20805004211,119438.20805004211,2.0184914740228881,1.6315581191626772e+25,0,"54.000000000000007"
x,128,5,5,115328.98653907342,115328.98653907342,2.0713658288948178,1.5295729398989349e+25,0,"52.000000000000028"
x,130,5,5,111184.63470158783,111184.63470158783,2.1445069205095608,1.4258761112878283e+25,0,"49.999999999999986"
x,132,5,5,107006.41494730247,107006.41494730247,2.2460367739042177,1.3213266461670313e+25,0,"48.000000000000007"
x,134,5,5,102795.60000242975,102795.60000242975,2.3558523658237527,1.2168073810690194e+25,0,"46"
x,136,5,5,98553.47252199291,98553.47252199291,2.4750868534162964,1.1132052997319595e+25,0,"43.999999999999979"
x,138,5,5,94281.324699117031,94281.324699117031,2.6050890646938005,1.0113911795990888e+25,0,"42.000000000000028"
x,140,5,5,89980.457871414008,89980.457871414008,2.7474774194546208,9.1219935183887929e+24,0,"40.00000000000005"
x,142,5,5,85652.182124583094,85652.182124583094,2.9042108776758218,8.1640837266680909e+24,0,"38.000000000000036"
x,144,5,5,81297.815893345716,81297.815893345716,3.0776835371752518,7.2472337655398304e+24,0,"36.000000000000014"
x,146,5,5,76918.685559837628,76918.685559837628,3.2708526184841396,6.3776082121425247e+24,0,"34"
x,148,5,5,72516.125049579918,72516.125049579918,3.4874144438409074,5.5603624248208434e+24,0,"32"
x,150,5,5,68091.475425152632,68091.475425152632,3.732050807568879,4.7995551810674836e+24,0,"29.999999999999954"
x,152,5,5,63646.084477694007,63646.084477694007,4.010780933535842,4.0980999807770074e+24,0,"28.000000000000021"
x,154,5,5,59181.306316349881,59181.306316349881,4.3314758742841564,3.4577570133673699e+24,0,"25.999999999999993"
x,156,5,5,54698.500955799747,54698.500955799747,4.7046301094784502,2.8791661133393897e+24,0,"24.000000000000036"
x,158,5,5,50199.033901982119,50199.033901982119,5.1445540159703045,2.3619193300041792e+24,0,"22.000000000000028"
x,160,5,5,45684.275736148993,45684.275736148993,5.6712818196177031,1.9046700863055642e+24,0,"19.999999999999993"
x,162,5,5,41155.601697373102,41155.601697373102,6.3137515146750394,1.5052743699694229e+24,0,"17.999999999999947"
x,164,5,5,36614.391263636986,36614.391263636986,7.1153697223841981,1.160958053803177e+24,0,"16.000000000000156"
x,166,5,5,32062.0277316303,32062.0277316303,8.1443464279745896,8.6850333923636079e+23,0,"13.99999999999992"
x,168,5,5,27499.897795384764,27499.897795384764,9.5143644542225818,6.2444650620737232e+23,0,"12.000000000000048"
x,170,5,5,22929.391123873269,22929.391123873269,11.430052302761339,4.2527866889859547e+23,0,"10.000000000000048"
x,172,5,5,18351.899937703492,18351.899937703492,14.300666256711889,2.6764110224934836e+23,0,"7.9999999999999343"
x,174,5,5,13768.818585033792,13768.818585033792,19.081136687728151,1.4850692532571924e+23,0,"5.9999999999999041"
x,176,5,5,9181.543116841538,9181.543116841538,28.636253282915515,6.5341495930271971e+22,0,"4.0000000000001323"
x,178,5,5,4591.4708616722392,4591.4708616722392,57.289961630759883,1.6234762803170081e+22,0,"2.0000000000001297"
x,180,4,4,5.6785176135396508e-11,150727.45382561418,1.7454368927210098,2.5313952840529936e+20,1,"1.2074182697257333e-06"
