! 12C range in H8C8
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
15.000000	833.138   	15.000000	830.032   	15.000000	817.481   	15.000000	816.925   	15.000000	817.642   	15.000000	4.65238   	15.000000	2.74461   	15.000000	5.5589    	15.000000	6.03296   	15.000000	5.36243   	
16.000000	932.728   	16.000000	928.191   	16.000000	916.372   	16.000000	915.592   	16.000000	916.639   	16.000000	5.24692   	16.000000	3.06709   	16.000000	6.19498   	16.000000	6.68202   	16.000000	5.98493   	
17.000000	1037.46   	17.000000	1031.46   	17.000000	1020.58   	17.000000	1019.54   	17.000000	1020.98   	17.000000	5.87629   	17.000000	3.40583   	17.000000	6.86554   	17.000000	7.36288   	17.000000	6.64181   	
18.000000	1147.28   	18.000000	1139.81   	18.000000	1130.04   	18.000000	1128.73   	18.000000	1130.63   	18.000000	6.54007   	18.000000	3.76044   	18.000000	7.57029   	18.000000	8.07516   	18.000000	7.33284   	
19.000000	1262.13   	19.000000	1253.19   	19.000000	1244.71   	19.000000	1243.09   	19.000000	1245.52   	19.000000	7.23777   	19.000000	4.13065   	19.000000	8.30892   	19.000000	8.81844   	19.000000	8.05774   	
20.000000	1381.98   	20.000000	1371.55   	20.000000	1364.52   	20.000000	1362.58   	20.000000	1365.59   	20.000000	7.96887   	20.000000	4.51626   	20.000000	9.08109   	20.000000	9.59229   	20.000000	8.8162    	
21.000000	1506.77   	21.000000	1494.87   	21.000000	1489.42   	21.000000	1487.14   	21.000000	1490.8    	21.000000	8.73285   	21.000000	4.91706   	21.000000	9.88647   	21.000000	10.3963   	21.000000	9.60792   	
22.000000	1636.46   	22.000000	1623.1    	22.000000	1619.35   	22.000000	1616.7    	22.000000	1621.08   	22.000000	9.52912   	22.000000	5.33264   	22.000000	10.7247   	22.000000	11.23     	22.000000	10.4325   	
23.000000	1771.01   	23.000000	1756.21   	23.000000	1754.23   	23.000000	1751.22   	23.000000	1756.38   	23.000000	10.3571   	23.000000	5.76255   	23.000000	11.5953   	23.000000	12.093    	23.000000	11.2897   	
24.000000	1910.37   	24.000000	1894.16   	24.000000	1894.02   	24.000000	1890.63   	24.000000	1896.62   	24.000000	11.2161   	24.000000	6.20639   	24.000000	12.4979   	24.000000	12.9848   	24.000000	12.1791   	
