! 2H range in H8C8
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - Range straggling - method [0] - LISE	Energy (MeV/u)7	6 - Range straggling - method [1] - Atima	Energy (MeV/u)8	7 - Lateral range - method [0] - LISE	Energy (MeV/u)9	8 - Lateral range - method [1] - Atima	Energy (MeV/u)10	9 - Lateral range - method [2] - PDG	
22.000000	9654.27   	22.000000	9632.77   	22.000000	9599.66   	22.000000	9599.93   	22.000000	9612.72   	22.000000	139.7     	22.000000	77.9842   	22.000000	168.403   	22.000000	156.97    	22.000000	161.199   	
23.000000	10463.2   	23.000000	10436.2   	23.000000	10413.4   	23.000000	10413.7   	23.000000	10429.1   	23.000000	151.929   	23.000000	84.3094   	23.000000	182.707   	23.000000	169.658   	23.000000	174.966   	
24.000000	11301.4   	24.000000	11269     	24.000000	11256.8   	24.000000	11257.3   	24.000000	11275.4   	24.000000	164.615   	24.000000	90.8385   	24.000000	197.542   	24.000000	182.774   	24.000000	189.249   	
25.000000	12168.6   	25.000000	12131     	25.000000	12129.5   	25.000000	12130.1   	25.000000	12151.3   	25.000000	177.749   	25.000000	97.5648   	25.000000	212.901   	25.000000	196.309   	25.000000	204.043   	
27.000000	13989.2   	27.000000	13941.2   	27.000000	13961.2   	27.000000	13962.2   	27.000000	13990.4   	27.000000	205.322   	27.000000	111.59    	27.000000	245.16    	27.000000	224.61    	27.000000	235.133   	
29.000000	15922.9   	29.000000	15865.4   	29.000000	15905.2   	29.000000	15906.8   	29.000000	15943.2   	29.000000	234.569   	29.000000	126.353   	29.000000	279.42    	29.000000	254.502   	29.000000	268.176   	
31.000000	17968.1   	31.000000	17901.9   	31.000000	17958.8   	31.000000	17960.9   	31.000000	18006.6   	31.000000	265.422   	31.000000	141.822   	31.000000	315.622   	31.000000	285.931   	31.000000	303.12    	
33.000000	20123.2   	33.000000	20049.1   	33.000000	20122.5   	33.000000	20125.2   	33.000000	20180.7   	33.000000	297.928   	33.000000	158.007   	33.000000	353.766   	33.000000	318.893   	33.000000	339.967   	
35.000000	22386.5   	35.000000	22305.7   	35.000000	22395.2   	35.000000	22398.6   	35.000000	22464.2   	35.000000	332.083   	35.000000	174.911   	35.000000	393.831   	35.000000	353.366   	35.000000	378.698   	
38.000000	25981.3   	38.000000	25892.5   	38.000000	26005.7   	38.000000	26010.3   	38.000000	26091.7   	38.000000	386.353   	38.000000	201.598   	38.000000	457.472   	38.000000	407.852   	38.000000	440.278   	
