! 1H energy loss (dE/dX) in H8C8
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
130.000000	0.000522902	130.000000	0.000629454	130.000000	0.000626561	130.000000	0.00062618	130.000000	0.000624107	130.000000	0.000629203	130.000000	2.50921e-07	
135.000000	0.000508864	135.000000	0.000612853	135.000000	0.000609913	135.000000	0.000609552	135.000000	0.000607549	135.000000	0.000612611	135.000000	2.42339e-07	
140.000000	0.000495758	140.000000	0.000597387	140.000000	0.000594443	140.000000	0.000594056	140.000000	0.000592119	140.000000	0.000597153	140.000000	2.34345e-07	
145.000000	0.00048349	145.000000	0.000582942	145.000000	0.000580003	145.000000	0.000579581	145.000000	0.000577704	145.000000	0.000582715	145.000000	2.26879e-07	
150.000000	0.000471982	150.000000	0.000569419	150.000000	0.000566438	150.000000	0.000566028	150.000000	0.000564208	150.000000	0.000569199	150.000000	2.19892e-07	
155.000000	0.000455778	155.000000	0.000556733	155.000000	0.000553707	155.000000	0.000553313	155.000000	0.000551545	155.000000	0.00055652	155.000000	2.13337e-07	
160.000000	0.00044628	160.000000	0.000544808	160.000000	0.000541745	160.000000	0.000541359	160.000000	0.00053964	160.000000	0.0005446 	160.000000	2.07175e-07	
165.000000	0.000437323	165.000000	0.000533576	165.000000	0.000530477	165.000000	0.0005301 	165.000000	0.000528428	165.000000	0.000533375	165.000000	2.01371e-07	
170.000000	0.000428862	170.000000	0.00052298	170.000000	0.000519846	170.000000	0.000519477	170.000000	0.000517848	170.000000	0.000522784	170.000000	1.95895e-07	
175.000000	0.000420857	175.000000	0.000512966	175.000000	0.000509798	175.000000	0.000509438	175.000000	0.00050785	175.000000	0.000512775	175.000000	1.9072e-07	
180.000000	0.00041327	180.000000	0.000503488	180.000000	0.000500288	180.000000	0.000499936	180.000000	0.000498387	180.000000	0.000503302	180.000000	1.8582e-07	
185.000000	0.000406069	185.000000	0.000494503	185.000000	0.000491275	185.000000	0.000490929	185.000000	0.000489416	185.000000	0.000494322	185.000000	1.81175e-07	
190.000000	0.000399226	190.000000	0.000485974	190.000000	0.00048272	190.000000	0.00048238	190.000000	0.000480901	190.000000	0.000485798	190.000000	1.76764e-07	
195.000000	0.000392714	195.000000	0.000477868	195.000000	0.000474584	195.000000	0.000474255	195.000000	0.000472808	195.000000	0.000477695	195.000000	1.7257e-07	
200.000000	0.000386509	200.000000	0.000470153	200.000000	0.000466843	200.000000	0.000466522	200.000000	0.000465107	200.000000	0.000469984	200.000000	1.68578e-07	
210.000000	0.000374937	210.000000	0.000455789	210.000000	0.000452487	210.000000	0.000452129	210.000000	0.00045077	210.000000	0.000455627	210.000000	1.61142e-07	
220.000000	0.00036436	220.000000	0.00044269	220.000000	0.000439364	220.000000	0.000439007	220.000000	0.0004377 	220.000000	0.000442536	220.000000	1.54355e-07	
230.000000	0.000354656	230.000000	0.000430698	230.000000	0.000427339	230.000000	0.000426996	230.000000	0.000425736	230.000000	0.000430549	230.000000	1.48136e-07	
240.000000	0.000345718	240.000000	0.000419677	240.000000	0.000416296	240.000000	0.000415963	240.000000	0.000414746	240.000000	0.000419534	240.000000	1.42414e-07	
250.000000	0.00033746	250.000000	0.000409515	250.000000	0.000406118	250.000000	0.000405794	250.000000	0.000404616	250.000000	0.000409378	250.000000	1.37133e-07	
260.000000	0.000329806	260.000000	0.000400116	260.000000	0.000396707	260.000000	0.000396392	260.000000	0.000395251	260.000000	0.000399984	260.000000	1.32243e-07	
270.000000	0.000322693	270.000000	0.000391398	270.000000	0.000387983	270.000000	0.000387676	270.000000	0.000386568	270.000000	0.00039127	270.000000	1.277e-07 	
280.000000	0.000316065	280.000000	0.00038329	280.000000	0.000379873	280.000000	0.000379573	280.000000	0.000378496	280.000000	0.000383167	280.000000	1.2347e-07	
290.000000	0.000309873	290.000000	0.000375731	290.000000	0.000372311	290.000000	0.000372023	290.000000	0.000370974	290.000000	0.000375612	290.000000	1.1952e-07	
300.000000	0.000304078	300.000000	0.000368668	300.000000	0.000365274	300.000000	0.000364972	300.000000	0.00036395	300.000000	0.000368552	300.000000	1.15824e-07	
310.000000	0.000298641	310.000000	0.000362055	310.000000	0.000358695	310.000000	0.000358372	310.000000	0.000357375	310.000000	0.000361942	310.000000	1.12357e-07	
320.000000	0.000293531	320.000000	0.000355849	320.000000	0.0003525 	320.000000	0.000352184	320.000000	0.00035121	320.000000	0.00035574	320.000000	1.09098e-07	
330.000000	0.00028872	330.000000	0.000350016	330.000000	0.000346677	330.000000	0.00034637	330.000000	0.000345418	330.000000	0.00034991	330.000000	1.06029e-07	
