! 2H energy loss (dE/dX) in H8C8
! apply ZOOM for details
Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al,Pergamon Press,NY(low energy)	Energy (MeV/u)3	2 - ATIMA 1.2 LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2 without LS-correction	Energy (MeV/u)5	4 - ATIMA 1.4 H.Weick, improved mean charge formula for HI	Energy (MeV/u)6	5 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)7	6 - nuclear component of [1] - J.F.Ziegler et al	
250.000000	0.00033746	250.000000	0.00040952	250.000000	0.000406123	250.000000	0.000405799	250.000000	0.000404622	250.000000	0.000409378	250.000000	1.42588e-07	
260.000000	0.000329806	260.000000	0.000400121	260.000000	0.000396712	260.000000	0.000396398	260.000000	0.000395256	260.000000	0.000399984	260.000000	1.37487e-07	
270.000000	0.000322693	270.000000	0.000391403	270.000000	0.000387988	270.000000	0.000387681	270.000000	0.000386573	270.000000	0.00039127	270.000000	1.32751e-07	
280.000000	0.000316065	280.000000	0.000383295	280.000000	0.000379878	280.000000	0.000379578	280.000000	0.000378501	280.000000	0.000383167	280.000000	1.2834e-07	
290.000000	0.000309873	290.000000	0.000375736	290.000000	0.000372316	290.000000	0.000372028	290.000000	0.000370979	290.000000	0.000375612	290.000000	1.24222e-07	
300.000000	0.000304078	300.000000	0.000368673	300.000000	0.000365279	300.000000	0.000364976	300.000000	0.000363954	300.000000	0.000368552	300.000000	1.20369e-07	
310.000000	0.000298641	310.000000	0.000362059	310.000000	0.000358699	310.000000	0.000358377	310.000000	0.00035738	310.000000	0.000361942	310.000000	1.16755e-07	
320.000000	0.000293531	320.000000	0.000355853	320.000000	0.000352504	320.000000	0.000352188	320.000000	0.000351214	320.000000	0.00035574	320.000000	1.13359e-07	
330.000000	0.00028872	330.000000	0.00035002	330.000000	0.000346681	330.000000	0.000346374	330.000000	0.000345422	330.000000	0.00034991	330.000000	1.10161e-07	
340.000000	0.000284181	340.000000	0.000344528	340.000000	0.000341205	340.000000	0.000340902	340.000000	0.000339971	340.000000	0.000344421	340.000000	1.07145e-07	
350.000000	0.000279894	350.000000	0.000339348	350.000000	0.000336042	350.000000	0.000335745	350.000000	0.000334833	350.000000	0.000339243	350.000000	1.04294e-07	
360.000000	0.000275839	360.000000	0.000334455	360.000000	0.000331168	360.000000	0.000330877	360.000000	0.000329982	360.000000	0.000334353	360.000000	1.01596e-07	
370.000000	0.000271996	370.000000	0.000329826	370.000000	0.000326526	370.000000	0.000326239	370.000000	0.000325362	370.000000	0.000329727	370.000000	9.90386e-08	
380.000000	0.000268351	380.000000	0.000325441	380.000000	0.00032213	380.000000	0.000321848	380.000000	0.000320987	380.000000	0.000325345	380.000000	9.66109e-08	
390.000000	0.000264888	390.000000	0.000321283	390.000000	0.000317964	390.000000	0.000317685	390.000000	0.00031684	390.000000	0.000321188	390.000000	9.43031e-08	
400.000000	0.000261595	400.000000	0.000317333	400.000000	0.000314008	400.000000	0.000313734	400.000000	0.000312903	400.000000	0.000317241	400.000000	9.21066e-08	
410.000000	0.000258461	410.000000	0.000313579	410.000000	0.00031025	410.000000	0.00030998	410.000000	0.000309163	410.000000	0.000313489	410.000000	9.00133e-08	
420.000000	0.000255473	420.000000	0.000310006	420.000000	0.000306676	420.000000	0.000306408	420.000000	0.000305604	420.000000	0.000309917	420.000000	8.80161e-08	
430.000000	0.000252623	430.000000	0.000306601	430.000000	0.000303271	430.000000	0.000303007	430.000000	0.000302215	430.000000	0.000306515	430.000000	8.61084e-08	
440.000000	0.000249901	440.000000	0.000303354	440.000000	0.000300022	440.000000	0.000299765	440.000000	0.000298985	440.000000	0.00030327	440.000000	8.42843e-08	
450.000000	0.0002473 	450.000000	0.000300255	450.000000	0.000296926	450.000000	0.000296671	450.000000	0.000295903	450.000000	0.000300172	450.000000	8.25384e-08	
460.000000	0.000244811	460.000000	0.000297293	460.000000	0.000293979	460.000000	0.000293717	460.000000	0.000292959	460.000000	0.000297212	460.000000	8.08656e-08	
470.000000	0.000242429	470.000000	0.000294461	470.000000	0.000291167	470.000000	0.000290893	470.000000	0.000290145	470.000000	0.000294382	470.000000	7.92615e-08	
480.000000	0.000240147	480.000000	0.000291751	480.000000	0.000288473	480.000000	0.000288192	480.000000	0.000287454	480.000000	0.000291673	480.000000	7.77218e-08	
490.000000	0.000237958	490.000000	0.000289155	490.000000	0.000285884	490.000000	0.000285605	490.000000	0.000284877	490.000000	0.000289079	490.000000	7.62427e-08	
500.000000	0.000235858	500.000000	0.000286667	500.000000	0.000283401	500.000000	0.000283127	500.000000	0.000282408	500.000000	0.000286593	500.000000	7.48206e-08	
520.000000	0.000231904	520.000000	0.000281991	520.000000	0.000278739	520.000000	0.000278472	520.000000	0.000277769	520.000000	0.000281918	520.000000	7.21348e-08	
540.000000	0.00022825	540.000000	0.000277677	540.000000	0.000274443	540.000000	0.00027418	540.000000	0.000273493	540.000000	0.000277607	540.000000	6.96409e-08	
560.000000	0.000224865	560.000000	0.000273688	560.000000	0.000270472	560.000000	0.000270214	560.000000	0.000269541	560.000000	0.00027362	560.000000	6.7319e-08	
580.000000	0.000221723	580.000000	0.000269991	580.000000	0.000266794	580.000000	0.00026654	580.000000	0.000265881	580.000000	0.000269926	580.000000	6.51516e-08	
600.000000	0.000218801	600.000000	0.000266558	600.000000	0.00026338	600.000000	0.00026313	600.000000	0.000262483	600.000000	0.000266495	600.000000	6.31236e-08	
