rotation_axis,rotation_deg,raw_rank,effective_rank,smallest_singular,smallest_nonzero_singular,condition_number,fisher_pseudo_determinant,null_intersection_dimension,principal_angles_deg
z,54,5,5,88595.374474290758,88595.374474290758,2.9695146074411993,6.2561616668504751e+24,0,"72"
z,56,5,5,84285.722537498106,84285.722537498106,3.1213502208050099,5.9460291332893761e+24,0,"68"
z,58,5,5,79873.381431013797,79873.381431013797,3.2937789028044953,5.5874761928546322e+24,0,"63.999999999999993"
z,60,5,5,75363.726912807091,75363.726912807091,3.4908737854420195,5.1874816706838843e+24,0,"60.000000000000021"
z,62,5,5,70762.253302249315,70762.253302249315,3.717875652283205,4.7538310051641813e+24,0,"56.000000000000036"
z,64,5,5,66074.5667861322,66074.5667861322,3.9816418245264398,4.2949647132295233e+24,0,"51.999999999999979"
z,66,5,5,61306.378588392967,61306.378588392967,4.2913195121092835,3.8198141052997444e+24,0,"47.999999999999979"
z,68,5,5,56463.498011867494,56463.498011867494,4.6593864694290499,3.3376274474823768e+24,0,"44.000000000000007"
z,70,5,5,51551.825360549687,51551.825360549687,5.1033160671446742,2.8577899545926841e+24,0,"40.000000000000021"
z,72,5,5,46577.344750979944,46577.344750979944,5.6483524352811969,2.389641117622692e+24,0,"35.999999999999972"
z,74,5,5,41546.116821521115,41546.116821521115,6.3323669883114073,1.9422929211725906e+24,0,"32.000000000000014"
z,76,5,5,36464.271348404014,36464.271348404014,7.2148777124719468,1.5244524890352644e+24,0,"28.000000000000021"
z,78,5,5,31337.999777539211,31337.999777539211,8.3950877695037178,1.144252609935816e+24,0,"24.000000000000036"
z,80,5,5,26173.547681194286,26173.547681194286,10.0515704579917,8.0909344204996715e+23,0,"19.999999999999975"
z,82,5,5,20977.20714872584,20977.20714872584,12.541481656156,5.2549847734270785e+23,0,"16.000000000000039"
z,84,5,5,15755.309120637641,15755.309120637641,16.69819720061971,2.9898756921758324e+23,0,"11.999999999999986"
z,86,5,5,10514.215675305337,10514.215675305337,25.021862474348517,1.3396949484889242e+23,0,"7.9999999999998437"
z,88,5,5,5260.3122777634053,5260.3122777634053,50.01323966359444,3.365614334897043e+22,0,"3.9999999999995848"
z,90,4,4,3.5527006528063569e-11,150727.45382561412,1.7454368927210104,2.5313952840529976e+20,1,"1.2074182697257333e-06"
z,92,5,5,5260.3122777633534,5260.3122777633534,50.013239663594916,3.3656143348985143e+22,0,"3.9999999999999503"
z,94,5,5,10514.215675305319,10514.215675305319,25.021862474348563,1.3396949484889907e+23,0,"7.999999999999889"
z,96,5,5,15755.309120637625,15755.309120637625,16.698197200619717,2.9898756921757647e+23,0,"11.999999999999986"
z,98,5,5,20977.207148725793,20977.207148725793,12.541481656156019,5.2549847734272194e+23,0,"16.000000000000014"
z,100,5,5,26173.547681194275,26173.547681194275,10.051570457991696,8.0909344204996769e+23,0,"19.999999999999975"
z,102,5,5,31337.999777539146,31337.999777539146,8.395087769503732,1.1442526099358016e+24,0,"24.000000000000021"
z,104,5,5,36464.271348403985,36464.271348403985,7.214877712471953,1.5244524890352507e+24,0,"28.000000000000011"
z,106,5,5,41546.116821521086,41546.116821521086,6.3323669883114118,1.9422929211725788e+24,0,"31.999999999999947"
z,108,5,5,46577.344750979937,46577.344750979937,5.6483524352812013,2.3896411176226818e+24,0,"36.000000000000028"
z,110,5,5,51551.825360549636,51551.825360549636,5.1033160671446787,2.8577899545926959e+24,0,"40.000000000000007"
z,112,5,5,56463.498011867516,56463.498011867516,4.6593864694290499,3.3376274474823972e+24,0,"44.000000000000014"
z,114,5,5,61306.378588392967,61306.378588392967,4.2913195121092835,3.8198141052997439e+24,0,"47.999999999999972"
z,116,5,5,66074.566786132214,66074.566786132214,3.9816418245264389,4.2949647132295238e+24,0,"52.000000000000021"
z,118,5,5,70762.253302249228,70762.253302249228,3.717875652283209,4.7538310051641819e+24,0,"55.999999999999979"
z,120,5,5,75363.726912807062,75363.726912807062,3.4908737854420218,5.187481670683894e+24,0,"59.999999999999986"
z,122,5,5,79873.381431013768,79873.381431013768,3.2937789028044966,5.5874761928546311e+24,0,"64"
z,124,5,5,84285.722537498048,84285.722537498048,3.1213502208050112,5.9460291332893686e+24,0,"68"
z,126,5,5,88595.374474290715,88595.374474290715,2.9695146074411993,6.2561616668504665e+24,0,"72"
z,128,5,5,92797.08659435765,92797.08659435765,2.835059464777701,6.5118374165427413e+24,0,"76"
z,130,5,5,96885.739758704716,96885.739758704716,2.7154177622872777,6.7080799447251516e+24,0,"80.000000000000014"
z,132,5,5,100856.35257326005,100856.35257326005,2.6085145054400978,6.841069613809308e+24,0,"84"
z,134,5,5,104704.08745793492,104704.08745793492,2.5126550934205363,6.9082179311599573e+24,0,"87.999999999999957"
z,136,5,5,104704.08745793489,104704.08745793489,2.5126550934205367,6.9082179311599616e+24,0,"87.999999999999986"
z,138,5,5,100856.35257326007,100856.35257326007,2.6085145054400969,6.8410696138092951e+24,0,"84.000000000000028"
z,140,5,5,96885.739758704789,96885.739758704789,2.7154177622872768,6.7080799447251602e+24,0,"80.000000000000028"
z,142,5,5,92797.08659435765,92797.08659435765,2.8350594647777005,6.511837416542709e+24,0,"76"
z,144,5,5,88595.374474290729,88595.374474290729,2.9695146074411989,6.2561616668504772e+24,0,"72.000000000000014"
z,146,5,5,84285.722537498135,84285.722537498135,3.1213502208050095,5.9460291332893707e+24,0,"68.000000000000028"
z,148,5,5,79873.38143101384,79873.38143101384,3.2937789028044921,5.5874761928546204e+24,0,"63.999999999999993"
z,150,5,5,75363.726912807062,75363.726912807062,3.4908737854420218,5.1874816706839026e+24,0,"59.999999999999986"
z,152,5,5,70762.253302249344,70762.253302249344,3.7178756522832046,4.753831005164191e+24,0,"56.000000000000028"
z,154,5,5,66074.566786132127,66074.566786132127,3.9816418245264451,4.2949647132295136e+24,0,"51.999999999999979"
z,156,5,5,61306.37858839301,61306.37858839301,4.2913195121092782,3.8198141052997337e+24,0,"48.000000000000028"
z,158,5,5,56463.498011867552,56463.498011867552,4.6593864694290463,3.3376274474824005e+24,0,"44.000000000000043"
z,160,5,5,51551.825360549694,51551.825360549694,5.1033160671446733,2.8577899545926868e+24,0,"40.000000000000043"
z,162,5,5,46577.344750979959,46577.344750979959,5.6483524352811987,2.3896411176226858e+24,0,"36.000000000000014"
z,164,5,5,41546.11682152118,41546.11682152118,6.3323669883113949,1.9422929211725925e+24,0,"32.000000000000064"
z,166,5,5,36464.27134840397,36464.27134840397,7.2148777124719574,1.5244524890352615e+24,0,"28.000000000000021"
z,168,5,5,31337.999777539186,31337.999777539186,8.3950877695037214,1.1442526099358256e+24,0,"23.999999999999972"
z,170,5,5,26173.547681194272,26173.547681194272,10.051570457991698,8.0909344204995601e+23,0,"19.999999999999975"
z,172,5,5,20977.207148725851,20977.207148725851,12.541481656155986,5.2549847734271161e+23,0,"16.000000000000064"
z,174,5,5,15755.30912063769,15755.30912063769,16.698197200619649,2.9898756921758371e+23,0,"12.000000000000048"
z,176,5,5,10514.215675305346,10514.215675305346,25.021862474348492,1.3396949484890334e+23,0,"8.0000000000000711"
z,178,5,5,5260.3122777633471,5260.3122777633471,50.013239663594995,3.3656143348977824e+22,0,"4.0000000000001323"
z,180,4,4,2.6795859073838608e-11,150727.45382561412,1.7454368927210104,2.5313952840529953e+20,1,"0"
