rotation_axis,rotation_deg,raw_rank,effective_rank,smallest_singular,smallest_nonzero_singular,condition_number,fisher_pseudo_determinant,null_intersection_dimension,principal_angles_deg
y,84,5,5,164101.36012863839,164101.36012863839,1.5990640543008861,2.5814222155155896e+25,0,"84"
y,86,5,5,164125.03222341396,164125.03222341396,1.6011211692592577,2.5963866958964284e+25,0,"86"
y,88,5,5,164139.1735525596,164139.1735525596,1.6023590617303418,2.6053386046183436e+25,0,"87.999999999999986"
y,90,5,5,164143.87703565505,164143.87703565505,1.6027722958924779,2.6083179562253836e+25,0,"89.999999999999986"
y,92,5,5,164139.17355255957,164139.17355255957,1.6023590617303443,2.6053386046183513e+25,0,"88.000000000000028"
y,94,5,5,164125.03222341405,164125.03222341405,1.6011211692592577,2.5963866958964259e+25,0,"86.000000000000014"
y,96,5,5,164101.36012863842,164101.36012863842,1.5990640543008852,2.5814222155155854e+25,0,"84.000000000000028"
y,98,5,5,164068.00147081164,164068.00147081164,1.5961967957962406,2.5603835528902248e+25,0,"82.000000000000014"
y,100,5,5,164024.73618462123,164024.73618462123,1.5925321446065164,2.5331948563134008e+25,0,"80.000000000000028"
y,102,5,5,163971.27800697091,163971.27800697091,1.5880865636944916,2.4997758111514261e+25,0,"78"
y,104,5,5,161971.45847881812,161971.45847881812,1.6017981871223683,2.4600533510584057e+25,0,"76.000000000000028"
y,106,5,5,158328.66102729581,158328.66102729581,1.6317529457567916,2.4139747110902114e+25,0,"74.000000000000014"
y,108,5,5,154637.63513186024,154637.63513186024,1.662775981502727,2.3615211577183319e+25,0,"72"
y,110,5,5,150899.50511475524,150899.50511475524,1.6949941568351616,2.3027216872930378e+25,0,"70"
y,112,5,5,147115.40964659594,147115.40964659594,1.7285523183577651,2.2376659735722359e+25,0,"68.000000000000028"
y,114,5,5,143286.50139951927,143286.50139951927,1.763616071076141,2.166515867154791e+25,0,"66.000000000000028"
y,116,5,5,139413.94669606871,139413.94669606871,1.800375079314213,2.089514804196635e+25,0,"64.000000000000014"
